INFO    2019-03-22 13:02:06,647 [main] com.api.common.GenericActions  - Starting Simulator servers
INFO    2019-03-22 13:02:07,650 [main] com.api.common.GenericActions  - Executing test case with TestCaseNumber == FCIFSCV1TC1PurcResp TranType == 00CardNumber == 2220118912341518
INFO    2019-03-22 13:02:07,653 [main] com.api.common.GenericActions  - Starting of Interchange Fee test cases @FCValid_Scenerio_Amount == 
INFO    2019-03-22 13:02:07,653 [main] com.api.common.GenericActions  - TranType == 00CardNumber == 2220118912341518MerchantCategoryCode == 4900Amount == 20502
INFO    2019-03-22 13:02:07,654 [main] com.api.common.GenericActions  - ISO Packager ==== com.api.connector.SEISOB93Packager@64e7619d
INFO    2019-03-22 13:02:07,654 [main] com.api.common.GenericActions  - CardNumber == 2220118912341518
INFO    2019-03-22 13:02:07,654 [main] com.api.common.GenericActions  - Amount == 20502
INFO    2019-03-22 13:02:07,654 [main] com.api.common.GenericActions  - Setting Purchase TranType
INFO    2019-03-22 13:02:07,654 [main] com.api.common.GenericActions  - TranType == 00
INFO    2019-03-22 13:02:07,654 [main] com.api.common.GenericActions  - NetworkID == 1transactionclassification == Pos Purchase+PIN
INFO    2019-03-22 13:02:07,655 [main] com.api.common.GenericActions  - Setting trackdata1
INFO    2019-03-22 13:02:07,655 [main] com.api.common.GenericActions  - Set trackdata1 == %B6315881002861896^DATES/GLOVES   SQUAT            ^378298230010?F1110000300077
INFO    2019-03-22 13:02:07,655 [main] com.api.common.GenericActions  - Setting trackdata2
INFO    2019-03-22 13:02:07,655 [main] com.api.common.GenericActions  - Set trackdata2 == %6315881002861896^3782982300123456789?F
INFO    2019-03-22 13:02:07,655 [main] com.api.common.GenericActions  - Setting ServiceRestrictionCode
INFO    2019-03-22 13:02:07,655 [main] com.api.common.GenericActions  - my line NetworkID == 1MCC == 4900
INFO    2019-03-22 13:02:07,655 [main] com.api.common.GenericActions  - End of @FCValid_Scenerio_Amount == 
INFO    2019-03-22 13:02:07,949 [main] com.se.database.SqliteDB  - connected to sqlite database
INFO    2019-03-22 13:02:07,950 [main] com.se.database.SqliteDB  - Getting issuerResponse from sqliteDB for cardNumber 2220118912341518
INFO    2019-03-22 13:02:07,957 [main] com.api.common.GenericActions  - Started :: FCIFSCV1TC1PurcRespInterchange fee calculation on valid transaction with different Amount
INFO    2019-03-22 13:02:07,957 [main] com.api.common.GenericActions  - expectedAcqResponse=000 expectedfeeRuleID=9901 expectedfeeAmount=30
INFO    2019-03-22 13:02:08,078 [main] com.api.common.GenericActions  - Actual Acquirer Response for field39 == 000
INFO    2019-03-22 13:02:08,078 [main] com.api.common.GenericActions  - Actual Acquirer Response for field123== 0TXN-IC123-990100000000000000000308400000000000000
INFO    2019-03-22 13:02:08,078 [main] com.api.common.GenericActions  - Actual and expected acquirer response is correct
INFO    2019-03-22 13:02:08,078 [main] com.api.common.GenericActions  - Actual ProgramCode== 0TXN-IC123-9901
INFO    2019-03-22 13:02:08,078 [main] com.api.common.GenericActions  - actualfeeRuleID== 9901
INFO    2019-03-22 13:02:08,078 [main] com.api.common.GenericActions  - Amount== 000000000000000030
INFO    2019-03-22 13:02:08,078 [main] com.api.common.GenericActions  - Actual Fee Amount== 30
INFO    2019-03-22 13:02:08,078 [main] com.api.common.GenericActions  - TEST PASSED: FCIFSCV1TC1PurcResp Interchange fee calculation is correct
INFO    2019-03-22 13:02:08,079 [main] com.api.common.GenericActions  - Starting Simulator servers
INFO    2019-03-22 13:02:08,081 [main] com.api.common.GenericActions  - Executing test case with TestCaseNumber == FCIFSCV1TC3PurcResp TranType == 00CardNumber == 2220118912341518
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - Starting of Interchange Fee test cases @FCValid_Scenerio_Amount == 
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - TranType == 00CardNumber == 2220118912341518MerchantCategoryCode == 4899Amount == 10502
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - ISO Packager ==== com.api.connector.SEISOB93Packager@64e7619d
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - CardNumber == 2220118912341518
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - Amount == 10502
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - Setting Purchase TranType
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - TranType == 00
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - NetworkID == 1transactionclassification == Pos Purchase+PIN
INFO    2019-03-22 13:02:08,082 [main] com.api.common.GenericActions  - Setting trackdata1
